group,lke01,lke02,lke03,lke04,lke05,lke06
22b,7,7,-,-,-,-
22b,9,9,-,-,-,-
22b,8,8,-,-,-,-
22b,9,9,-,-,-,-
22b,7,7,-,-,-,-
22b,8,8,-,-,-,-
22b,7,7,-,-,-,-
22b,9,9,-,-,-,-
22b,8,8,-,-,-,-
22b,8,8,-,-,-,-
22b,9,9,-,-,-,-
22b,8,8,-,-,-,-
22b,8,8,-,8,6,-
22b,8,8,-,-,-,-
22b,8,8,-,-,-,-
22b,8,8,-,-,-,-
22b,8,8,-,-,-,-
22b,9,9,-,-,-,-
22b,9,9,8,6,8,-
22b,9,9,-,-,-,-
22b,8,8,-,-,-,-
22b,9,9,-,-,-,-
22b,7,7,-,-,-,-
22b,10,10,-,-,-,-
22b,8,8,-,-,-,-
22b,9,9,8,-,-,-
22b,9,9,-,-,-,-
22b,9,9,-,-,-,-
22b,10,10,9,-,-,-
22b,10,10,9,8,-,-
22b,-,-,-,-,-,-
