group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
23c,4,4,-,-,-,-,-,-
23c,5,5,-,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,8,8,7,-,-,-,-,-
23c,6,6,-,-,-,-,-,-
23c,10,10,-,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,6,6,-,-,-,-,-,-
23c,8,8,-,-,-,-,-,-
23c,6,6,-,-,-,-,-,-
23c,5,5,-,-,-,-,-,-
23c,5,5,-,-,-,-,-,-
23c,9,9,7,-,-,-,-,-
23c,9,9,-,-,-,-,-,-
23c,6,6,-,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,8,8,-,-,-,-,-,-
23c,8,8,-,-,-,-,-,-
23c,8,8,-,-,-,-,-,-
23c,9,9,8,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,8,8,9,-,-,-,-,-
23c,7,7,-,-,-,-,-,-
23c,9,9,-,-,-,-,-,-
23c,9,9,10,-,-,-,-,-
23c,7,7,8,-,-,-,-,-
23c,8,8,-,-,-,-,-,-
23c,8,8,8,-,-,-,-,-
