group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23c,7,-,-,-,-,-
23c,7,-,-,-,-,-
23c,7,-,-,-,-,-
23c,7,-,-,-,-,-
23c,7,-,-,-,-,-
23c,7,-,-,-,-,-
23c,7,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,8,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
23c,9,-,-,-,-,-
